Entidad Estatal	Referencia	Descripción	Fase Actual	Fecha de Publicación	Fecha de Presentación de Ofertas	Cuantía	Estado	Vínculo
ESCUELA DE SUBOFICIALES Y NIVEL EJECUTIVO GONZALO JIMENEZ DE QUESADA	PN ESJIM SA MC 001 2020 (Manifestación de interés (Menor Cuantía))	MANTENIMIENTO PREVENTIVO Y CORRECTIVO Y/O MEJORAS LOCATIVAS DE LAS INSTALACIONES DE LA ESJIM Y COPES (Manifestación de interés (Menor Cuantía))	Manifestación de interés (Menor Cuantía)	14/08/2020 5:51 PM (UTC -5 horas)	31/08/2020 5:00 PM (UTC -5 horas)	1.200.000.000 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392540' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
"INSTITUTO DISTRITAL DE GESTION DE RIESGOS Y CAMBIO CLIMATICO "	IDIGER-269-2020	PRESTACION DE SERVICIOS DE APOYO A LA GESTION	Presentación de oferta	14/08/2020 5:51 PM (UTC -5 horas)		15.507.800 COP	Proceso en evaluación y observaciones	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392299' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
MUNICIPIO DE SAN JOSE DE CUCUTA	SSM-CPS-427-2020	PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA OPTIMIZACIÓN Y MEJORAMIENTO DE LOS PROCESOS Y PROCEDIMIENTOS ORGANIZACIONALES, DE LOS PROGRAMAS DE LA GESTIÓN DE SALUD PÚBLICA DE LA SECRETARÍA DE SALUD Y	Presentación de oferta	14/08/2020 5:50 PM (UTC -5 horas)		16.400.000 COP	Proceso en evaluación y observaciones	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392096' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
EMPRESA DE RENOVACION Y DESARROLLO URBANO DE BOGOTA D.C	ERU-CD-249-2020	CAROLINA JARAMILLO RESTREPO	Presentación de oferta	14/08/2020 5:50 PM (UTC -5 horas)		52.250.000 COP	Proceso en evaluación y observaciones	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392629' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
INSTITUTO DISTRITAL PARA LA PROTECCIÓN DE LA NIÑEZ Y LA JUVENTUD - IDIPRON	IDIPRON-CPS-2020-2023	PRESTAR SERVICIOS DE APOYO A LA GESTIÓN PARA REALIZAR ACTIVIDADES ADMINISTRATIVAS EN LA SUBDIRECCIÓN TÉCNICA DE MÉTODOS EDUCATIVOS Y OPERATIVA.	Presentación de oferta	14/08/2020 5:50 PM (UTC -5 horas)		8.612.100 COP	Proceso en evaluación y observaciones	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392628' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA	CDAV-20200156-CD	Prestar servicios profesionales de revisoría fiscal para el Centro de Diagnóstico Automotor del Valle Ltda.	Presentación de oferta	14/08/2020 4:21 PM (UTC -5 horas)		32.487.000 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392049' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
BASE NAVAL ARC BOLIVAR	0109-ARC-CBN1-2020	SUMINISTRO DE REPUESTOS NUEVOS Y ORIGINALES, NO REMANUFACTURADOS, PARA LOS VEHICULOS DEL PARQUE AUTOMOTOR DE LA BASE NAVAL ARC “BOLÍVAR” Y COMPONENTES DE LA FUERZA NAVAL DEL CARIBE	Presentación de observaciones	14/08/2020 4:07 PM (UTC -5 horas)	7/09/2020 9:00 AM (UTC -5 horas)	313.810.106 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1392237' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
DEPARTAMENTO DEL CASANARE	CAS-OAJ-CDPSP-0222-2020	REALIZAR CONTROL Y SEGUIMIENTO DE LOS CONTRIBUYENTES OMISOS DEL IMPUESTO SOBRE VEHÍCULOS AUTOMOTORES VIGENCIA 2017, EN LOS RANGOS DE PLACAS 074ACT al DYQ563 DE LA EN LA INSTANCIA DE FISCALIZACIÓN TRIB	Presentación de oferta	14/08/2020 12:52 PM (UTC -5 horas)		12.320.000 COP	Proceso adjudicado y celebrado	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391652' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
SENA REGIONAL CALDAS Grupo de Apoyo Administrativo Mixto	SOLICITUD COTIZACIÓN 03	MANTENIMIENTO PARQUE AUTOMOTOR	Presentación de oferta	14/08/2020 12:15 PM (UTC -5 horas)	21/08/2020 12:00 PM (UTC -5 horas)		"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391294' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
POLICÍA METROPOLITANA DE MANIZALES	PN MEMAZ MIC 031 2020	"SUMINISTRO DE COMBUSTIBLES CON DESTINO A LOS VEHÍCULOS ASIGNADOS AL PARQUE AUTOMOTOR DE LA ESTACION DE POLICIA LA VICTORIA PERTENECIENTES AL DISTRITO DE POLICÍA NUMERO SEIS (LA DORADA) Y LAS UNIDADES "	Presentación de oferta	14/08/2020 10:52 AM (UTC -5 horas)	21/08/2020 3:00 PM (UTC -5 horas)	7.990.000 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391448' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
POLICIA METROPOLITANA DE BOGOTA	PN MEBOG SA MC 017 2020	MANTENIMIENTO EQUIPO AUTOMOTOR PARA LA POLICIA METROPOLITANA DE BOGOTA Y OTRAS UNIDADES	Presentación de observaciones	14/08/2020 9:42 AM (UTC -5 horas)	4/09/2020 10:00 AM (UTC -5 horas)	1.395.000.000 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391063' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SANTANDER DE QUILICHAO	13-2020 EPMSC SQ	MANTENIMIENTO DEL PARQUE AUTOMOTOR DEL EPMSC SQ	Presentación de oferta	14/08/2020 9:20 AM (UTC -5 horas)	18/08/2020 10:00 AM (UTC -5 horas)	9.746.953 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391218' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
POLICIA METROPOLITANA DE BOGOTA	PN MEBOG SA MC 017 2020	MANTENIMIENTO EQUIPO AUTOMOTOR PARA LA POLICIA METROPOLITANA DE BOGOTA Y OTRAS UNIDADES	Presentación de observaciones	14/08/2020 9:42 AM (UTC -5 horas)	4/09/2020 10:00 AM (UTC -5 horas)	1.395.000.000 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391063' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO SANTANDER DE QUILICHAO	13-2020 EPMSC SQ	MANTENIMIENTO DEL PARQUE AUTOMOTOR DEL EPMSC SQ	Presentación de oferta	14/08/2020 9:20 AM (UTC -5 horas)	18/08/2020 10:00 AM (UTC -5 horas)	9.746.953 COP	"Publicado "	javascript:createAndOpenSupportModal({modalId:'OpportunityDetailModal', showTitle: true, cssClass:'bModal VortalModalDialog', modalHeight:650, modalWidth:850, supportOptions: {windowURL: '/Public/Tendering/OpportunityDetail/Index' + '?' + 'noticeUID=' + 'CO1.NTC.1391218' + '&' + 'isFromPublicArea=' + 'True' + '&' + 'isModal=' + 'true' + '&asPopupView=true', modalOptions: {scrollBar: false, escClose: false, modalClose: true, iframeScrollbar: true, closeClass: 'bClose'}, windowName: 'OpportunityDetailModal_iframe'}});
